net,length_um
_12206_,22.5
_08828_,22.48
_10983_,22.48
_12255_,22.48
u_sram.mem\[34\]\[4\],22.48
u_cpu.cpuregs\[7\]\[14\],22.475
_05239_,22.46
u_cpu.count_instr\[27\],22.46
u_cpu.cpuregs\[23\]\[25\],22.46
_06024_,22.44
_09299_,22.435
_09556_,22.42
_10437_,22.42
u_cpu.cpuregs\[11\]\[31\],22.42
u_cpu.cpuregs\[7\]\[4\],22.42
u_cpu.cpuregs\[8\]\[0\],22.42
net5330,22.42
_14575_,22.4
u_cpu.alu_out\[14\],22.4
net4491,22.4
_09453_,22.38
_09885_,22.38
_04560_,22.34
_04619_,22.34
_09057_,22.34
u_interconnect.s1_axi_rdata\[31\],22.32
net3163,22.3
_05138_,22.28
_11956_,22.28
_14211_,22.28
_14395_,22.28
u_cpu.cpuregs\[13\]\[7\],22.28
_04889_,22.26
_11414_,22.26
u_cpu.cpuregs\[11\]\[0\],22.26
_14334_,22.24
_05512_,22.22
net4996,22.22
u_cpu.cpuregs\[13\]\[15\],22.18
u_cpu.cpuregs\[3\]\[20\],22.18
u_sram.mem\[26\]\[10\],22.18
u_sram.mem\[26\]\[13\],22.18
net459,22.18
_05463_,22.16
_08711_,22.16
_11290_,22.16
u_cpu.cpuregs\[19\]\[30\],22.14
net3198,22.14
net4477,22.14
u_cpu.cpuregs\[3\]\[21\],22.13
_06766_,22.12
_09305_,22.12
u_sram.mem\[46\]\[22\],22.12
net2575,22.12
_13596_,22.1
_12969_,22.08
_12982_,22.08
u_sram.mem\[47\]\[20\],22.08
net2094,22.08
_05296_,22.06
_05636_,22.06
_09492_,22.06
_14569_,22.06
u_cpu.mem_rdata_q\[6\],22.06
_09855_,22.05
clknet_leaf_292_clk,22.04
_09908_,22.03
_10705_,22.02
u_interconnect.m_axi_awaddr\[6\],22.02
u_sram.mem\[15\]\[17\],22.02
u_sram.mem\[27\]\[21\],22.02
_06849_,22
_07983_,22
_10131_,22
clknet_leaf_165_clk,22
net4358,22
u_cpu.cpuregs\[3\]\[13\],21.975
_10440_,21.96
_13106_,21.96
u_cpu.cpuregs\[14\]\[11\],21.96
_11837_,21.94
_14003_,21.94
_05351_,21.92
_09073_,21.92
_13223_,21.92
u_sram.mem\[47\]\[12\],21.92
u_cpu.cpuregs\[17\]\[30\],21.9
net4936,21.9
_09229_,21.88
_10686_,21.87
_05824_,21.86
_06147_,21.86
_06507_,21.86
_04377_,21.84
_04649_,21.82
_05410_,21.82
u_cpu.cpuregs\[0\]\[24\],21.82
u_cpu.reg_sh\[0\],21.82
_05102_,21.8
_12240_,21.8
_13148_,21.8
_06357_,21.78
u_cpu.cpuregs\[23\]\[27\],21.78
u_sram.mem\[47\]\[30\],21.76
net4440,21.755
_14355_,21.74
u_cpu.cpuregs\[22\]\[23\],21.72
u_cpu.cpuregs\[2\]\[27\],21.72
_04850_,21.7
_12074_,21.7
net9,21.7
net5441,21.7
_07229_,21.68
_13135_,21.68
u_cpu.cpuregs\[10\]\[5\],21.68
u_sram.mem\[45\]\[6\],21.68
_04400_,21.66
u_sram.mem\[25\]\[24\],21.66
u_sram.mem\[62\]\[10\],21.66
net4911,21.66
_06297_,21.64
net2265,21.64
_09127_,21.62
u_sram.mem\[47\]\[25\],21.62
_05182_,21.6
_05615_,21.6
_10385_,21.6
_14330_,21.6
_04922_,21.58
_06597_,21.58
_14398_,21.58
_06439_,21.56
u_cpu.cpuregs\[6\]\[10\],21.52
_07779_,21.5
_11160_,21.5
_13165_,21.5
u_interconnect.wr_active,21.5
u_sram.mem\[35\]\[5\],21.5
u_sram.mem\[47\]\[11\],21.5
u_sram.mem\[47\]\[23\],21.5
net4175,21.5
u_cpu.cpuregs\[3\]\[15\],21.48
net4557,21.48
u_cpu.cpuregs\[26\]\[22\],21.46
u_cpu.cpuregs\[28\]\[2\],21.46
u_sram.mem\[47\]\[31\],21.46
net1638,21.46
_05790_,21.45
u_cpu.cpuregs\[9\]\[28\],21.44
net3975,21.44
u_cpu.cpuregs\[29\]\[15\],21.42
u_cpu.cpuregs\[1\]\[18\],21.4
u_sram.mem\[49\]\[8\],21.4
_13077_,21.38
u_cpu.cpuregs\[6\]\[19\],21.38
u_cpu.reg_out\[29\],21.38
_13678_,21.36
_13725_,21.36
u_cpu.cpuregs\[5\]\[22\],21.34
net4676,21.34
u_cpu.cpuregs\[11\]\[12\],21.32
_07014_,21.3
_09413_,21.3
_09482_,21.3
_14179_,21.3
u_cpu.cpuregs\[29\]\[23\],21.3
_07883_,21.24
_10392_,21.24
_11026_,21.24
_11948_,21.24
u_sram.mem\[44\]\[22\],21.24
u_cpu.cpuregs\[19\]\[7\],21.23
_13107_,21.22
u_sram.mem\[18\]\[7\],21.22
_09708_,21.2
_10427_,21.2
net5228,21.2
net5230,21.2
_05812_,21.18
_10518_,21.18
u_cpu.cpuregs\[10\]\[16\],21.18
u_cpu.cpuregs\[14\]\[6\],21.18
net2715,21.18
_08330_,21.16
_08433_,21.16
_09946_,21.16
_11646_,21.16
u_cpu.cpuregs\[5\]\[9\],21.16
u_sram.mem\[15\]\[18\],21.16
_09491_,21.14
u_sram.mem\[55\]\[15\],21.14
net5257,21.14
_04317_,21.12
u_cpu.cpuregs\[12\]\[29\],21.12
net2935,21.12
_10282_,21.11
_04622_,21.1
_05611_,21.1
_11309_,21.1
u_sram.mem\[45\]\[22\],21.1
_10294_,21.06
_08778_,21.05
_01809_,21.04
_04610_,21.04
_06250_,21.04
_06869_,21.04
_11802_,21.04
u_cpu.cpuregs\[17\]\[9\],21.04
net4677,21.025
_08533_,21.02
_09461_,21.02
u_cpu.cpuregs\[14\]\[23\],21.02
_05420_,21
_11576_,21
u_cpu.cpuregs\[26\]\[18\],21
_13916_,20.98
cpu_mem_wdata\[15\],20.98
u_cpu.cpuregs\[13\]\[30\],20.98
_05568_,20.96
net4926,20.96
_04852_,20.94
_14392_,20.94
u_cpu.cpuregs\[12\]\[14\],20.94
net4671,20.94
_10772_,20.92
_13641_,20.92
u_uart.w_byte\[7\],20.92
_05447_,20.9
_09655_,20.9
_12030_,20.9
u_sram.mem\[7\]\[21\],20.9
_10865_,20.88
_10928_,20.88
net3481,20.88
_14260_,20.86
_06644_,20.84
u_cpu.cpuregs\[25\]\[4\],20.84
_04588_,20.82
_06188_,20.82
_10305_,20.82
u_cpu.instr_ori,20.82
net4249,20.82
_08263_,20.8
u_cpu.cpuregs\[7\]\[8\],20.8
u_sram.mem\[48\]\[9\],20.8
_04516_,20.78
_07918_,20.78
_09400_,20.78
_13511_,20.78
u_cpu.cpuregs\[13\]\[5\],20.78
u_cpu.cpuregs\[15\]\[4\],20.78
net2166,20.78
net4539,20.78
net4616,20.78
net4634,20.78
_06391_,20.76
_09344_,20.76
_11653_,20.76
u_sram.mem\[33\]\[21\],20.76
net5153,20.76
u_cpu.cpuregs\[3\]\[23\],20.74
u_cpu.mem_rdata_q\[5\],20.74
net3000,20.74
_04904_,20.72
_04996_,20.72
u_sram.mem\[47\]\[24\],20.72
_13940_,20.7
u_sram.mem\[47\]\[17\],20.7
u_uart.u_rx.state\[2\],20.7
net4720,20.7
_08274_,20.68
_11203_,20.68
_11668_,20.68
_12081_,20.68
u_sram.mem\[44\]\[8\],20.68
_12943_,20.66
u_cpu.is_sltiu_bltu_sltu,20.65
_05268_,20.64
_06474_,20.64
_08221_,20.64
_08688_,20.64
_08870_,20.64
u_cpu.mem_rdata_q\[30\],20.64
net4096,20.64
_07368_,20.62
_10919_,20.62
u_cpu.cpuregs\[30\]\[15\],20.62
u_sram.mem\[40\]\[24\],20.62
net1921,20.62
net2286,20.62
u_cpu.cpuregs\[14\]\[12\],20.6
u_sram.mem\[51\]\[20\],20.6
net4486,20.6
net4523,20.59
_04822_,20.58
_04804_,20.56
u_cpu.cpuregs\[12\]\[23\],20.56
u_cpu.cpuregs\[20\]\[13\],20.56
u_cpu.cpuregs\[29\]\[30\],20.56
_14129_,20.54
u_cpu.alu_out\[6\],20.535
_10426_,20.52
_14325_,20.52
u_cpu.cpuregs\[17\]\[19\],20.52
_10519_,20.515
_10897_,20.5
u_cpu.cpuregs\[12\]\[9\],20.5
u_cpu.cpuregs\[14\]\[18\],20.5
net4582,20.5
_00923_,20.48
_05431_,20.46
_06218_,20.46
_10907_,20.46
u_cpu.instr_slt,20.46
u_cpu.is_alu_reg_imm,20.46
u_interconnect.s2_axi_rdata\[5\],20.46
_13521_,20.44
u_cpu.cpuregs\[13\]\[29\],20.42
u_sram.mem\[34\]\[5\],20.42
net3801,20.42
_06117_,20.4
_06667_,20.4
u_cpu.cpuregs\[16\]\[30\],20.4
u_uart.u_rx.clk_cnt\[3\],20.4
net3671,20.4
_01499_,20.385
_04654_,20.38
_10340_,20.38
net4356,20.38
net4712,20.38
u_cpu.cpuregs\[26\]\[10\],20.36
net517,20.36
_11358_,20.34
u_cpu.cpuregs\[24\]\[26\],20.34
u_cpu.cpuregs\[8\]\[8\],20.34
net4777,20.34
_08700_,20.32
_06743_,20.3
_13864_,20.3
u_sram.mem\[33\]\[18\],20.3
u_uart.u_rx.clk_cnt\[1\],20.3
net4503,20.3
_05343_,20.28
_05777_,20.28
_07851_,20.28
u_cpu.cpuregs\[23\]\[14\],20.28
net2760,20.28
_04536_,20.26
u_cpu.cpuregs\[20\]\[31\],20.26
net1872,20.26
_05801_,20.24
_07169_,20.24
_08415_,20.24
_08764_,20.24
_09391_,20.24
u_cpu.cpuregs\[21\]\[5\],20.24
u_sram.mem\[47\]\[16\],20.24
u_sram.mem\[8\]\[25\],20.24
net822,20.24
net5388,20.24
_05282_,20.22
_09396_,20.22
_09767_,20.22
u_cpu.cpuregs\[10\]\[9\],20.22
u_cpu.cpuregs\[13\]\[11\],20.22
u_cpu.cpuregs\[23\]\[10\],20.22
u_interconnect.rd_active,20.22
net3488,20.22
net4236,20.22
u_cpu.cpuregs\[19\]\[22\],20.2
u_sram.mem\[48\]\[1\],20.2
_11974_,20.19
_06224_,20.18
net987,20.18
_09144_,20.175
_09836_,20.17
_09884_,20.16
_10999_,20.16
u_cpu.cpuregs\[12\]\[15\],20.16
u_cpu.cpuregs\[17\]\[15\],20.16
net5012,20.16
_01522_,20.145
_06248_,20.14
u_cpu.cpuregs\[11\]\[18\],20.14
u_sram.mem\[39\]\[24\],20.14
net205,20.14
u_cpu.cpuregs\[12\]\[2\],20.135
_05022_,20.12
net5038,20.12
_01807_,20.1
_06639_,20.1
_11256_,20.1
_11774_,20.1
u_cpu.cpuregs\[18\]\[28\],20.1
_05464_,20.08
_06145_,20.08
_09934_,20.08
u_cpu.cpuregs\[12\]\[31\],20.08
u_cpu.cpuregs\[16\]\[24\],20.08
_06211_,20.06
_07753_,20.06
_11212_,20.06
u_cpu.cpuregs\[24\]\[17\],20.06
net3787,20.06
net4443,20.06
_08845_,20.055
_04924_,20.04
_07215_,20.04
_09474_,20.04
_09988_,20.04
u_cpu.cpuregs\[12\]\[0\],20.04
net399,20.04
net3076,20.04
_10228_,20.02
u_cpu.cpuregs\[22\]\[24\],20.02
u_cpu.cpuregs\[31\]\[25\],20.02
u_sram.mem\[47\]\[0\],20.02
_10457_,20.01
_06265_,20
_07520_,20
_11455_,20
u_cpu.cpuregs\[5\]\[10\],20
net4273,20
_07555_,19.98
_09665_,19.98
u_cpu.pcpi_rs1\[14\],19.98
_05255_,19.96
_13499_,19.96
u_cpu.cpuregs\[19\]\[8\],19.96
u_cpu.cpuregs\[2\]\[0\],19.96
u_cpu.cpuregs\[5\]\[24\],19.96
u_sram.mem\[62\]\[15\],19.96
net4743,19.96
_14294_,19.94
u_cpu.cpuregs\[2\]\[16\],19.94
u_sram.mem\[11\]\[21\],19.94
u_sram.mem\[61\]\[17\],19.94
u_uart.u_tx.state\[2\],19.94
net4242,19.94
_09882_,19.92
_09898_,19.92
u_cpu.cpuregs\[15\]\[2\],19.92
u_cpu.cpuregs\[21\]\[27\],19.92
net3025,19.915
_04415_,19.9
u_cpu.cpuregs\[4\]\[24\],19.9
_10825_,19.885
_08835_,19.88
_09017_,19.88
_09497_,19.88
_10502_,19.88
_04851_,19.86
_08065_,19.86
_09472_,19.86
_11190_,19.86
_12066_,19.86
u_sram.mem\[31\]\[24\],19.86
net4118,19.86
_11233_,19.84
u_cpu.cpuregs\[29\]\[16\],19.84
u_sram.mem\[63\]\[9\],19.84
net3362,19.84
_04495_,19.82
u_cpu.cpuregs\[10\]\[21\],19.8
_09565_,19.78
u_cpu.cpuregs\[2\]\[30\],19.78
_11049_,19.76
net1131,19.76
net2049,19.76
_04942_,19.74
_08530_,19.74
_14013_,19.74
u_cpu.cpuregs\[23\]\[2\],19.74
u_cpu.cpuregs\[28\]\[13\],19.74
_09121_,19.72
_14568_,19.72
u_cpu.cpuregs\[7\]\[10\],19.72
u_sram.mem\[19\]\[22\],19.72
u_cpu.cpuregs\[30\]\[28\],19.7
u_cpu.cpuregs\[6\]\[28\],19.7
u_sram.mem\[54\]\[21\],19.7
net4082,19.7
_09222_,19.68
u_cpu.cpuregs\[22\]\[19\],19.68
u_cpu.cpuregs\[30\]\[3\],19.68
u_sram.mem\[15\]\[15\],19.68
net2568,19.68
net4693,19.68
_08194_,19.66
u_cpu.cpuregs\[23\]\[18\],19.66
u_cpu.cpuregs\[27\]\[26\],19.66
u_cpu.instr_and,19.66
_08105_,19.64
u_cpu.cpuregs\[27\]\[23\],19.64
net2424,19.64
u_cpu.cpuregs\[10\]\[19\],19.62
u_interconnect.m_axi_wdata\[4\],19.62
_09890_,19.61
_04417_,19.6
_11420_,19.6
_13842_,19.6
u_cpu.cpuregs\[31\]\[20\],19.6
u_sram.mem\[25\]\[26\],19.6
_04310_,19.58
_11729_,19.58
_13074_,19.58
u_cpu.cpuregs\[26\]\[11\],19.58
net973,19.58
net4626,19.565
u_cpu.cpuregs\[9\]\[17\],19.56
net1466,19.56
_09785_,19.54
_14140_,19.54
_14413_,19.54
u_cpu.cpuregs\[26\]\[8\],19.54
net4324,19.54
_05960_,19.52
_09382_,19.52
u_cpu.cpuregs\[19\]\[25\],19.52
net2104,19.505
_04460_,19.48
_04994_,19.48
_12144_,19.48
u_sram.mem\[31\]\[21\],19.48
u_sram.mem\[35\]\[4\],19.48
u_sram.mem\[37\]\[24\],19.48
net2702,19.48
net3390,19.48
u_cpu.cpuregs\[29\]\[13\],19.46
u_uart.u_rx.clk_cnt\[6\],19.46
net4462,19.46
net2811,19.445
net4174,19.445
_13781_,19.44
u_cpu.cpuregs\[0\]\[11\],19.44
u_cpu.cpuregs\[25\]\[10\],19.44
u_cpu.cpuregs\[4\]\[28\],19.44
_03150_,19.42
_07062_,19.42
_09900_,19.42
_14488_,19.42
u_cpu.cpu_state\[5\],19.42
u_sram.mem\[13\]\[28\],19.42
u_sram.mem\[26\]\[23\],19.42
u_sram.mem\[35\]\[10\],19.42
net175,19.42
_04373_,19.4
_09730_,19.4
_12005_,19.4
u_sram.mem\[6\]\[13\],19.4
_09412_,19.38
u_cpu.cpuregs\[4\]\[27\],19.38
net1342,19.38
net4840,19.38
_10268_,19.36
u_sram.mem\[41\]\[6\],19.36
u_cpu.cpuregs\[1\]\[30\],19.34
u_cpu.cpuregs\[29\]\[24\],19.34
u_cpu.cpuregs\[29\]\[25\],19.34
u_sram.mem\[28\]\[7\],19.34
_08015_,19.32
u_sram.mem\[62\]\[11\],19.32
u_sram.mem\[8\]\[24\],19.32
_05009_,19.3
_05486_,19.3
_07084_,19.3
_08621_,19.3
_10726_,19.3
_12049_,19.3
_14297_,19.3
u_sram.mem\[53\]\[21\],19.3
net1861,19.3
_06101_,19.28
_06539_,19.28
_06719_,19.28
_08516_,19.28
_09798_,19.28
_11888_,19.28
u_sram.mem\[46\]\[21\],19.28
_04623_,19.26
_08556_,19.26
u_cpu.pcpi_rs1\[12\],19.26
u_sram.mem\[36\]\[15\],19.26
u_sram.mem\[63\]\[10\],19.26
_07705_,19.24
_07933_,19.24
_13215_,19.24
u_cpu.cpuregs\[14\]\[7\],19.24
_04315_,19.22
_11475_,19.22
_12983_,19.22
_13685_,19.22
u_sram.mem\[47\]\[19\],19.22
u_sram.mem\[62\]\[9\],19.22
_06193_,19.215
_04435_,19.2
_08701_,19.2
_10035_,19.2
_06420_,19.18
_09803_,19.18
_10161_,19.18
cpu_mem_wdata\[17\],19.18
u_sram.mem\[16\]\[20\],19.18
net3682,19.18
_09590_,19.16
_09742_,19.16
_10601_,19.16
u_cpu.cpuregs\[16\]\[28\],19.16
u_cpu.cpuregs\[4\]\[10\],19.16
u_uart.u_rx.shift_reg\[2\],19.155
_10095_,19.14
_11510_,19.14
u_cpu.cpuregs\[30\]\[30\],19.14
net4809,19.14
net2278,19.13
_01231_,19.12
_08545_,19.12
_08856_,19.1
u_cpu.cpuregs\[10\]\[28\],19.1
u_cpu.cpuregs\[8\]\[9\],19.1
u_sram.mem\[49\]\[1\],19.1
_11505_,19.08
_14281_,19.08
net4678,19.07
_07359_,19.06
_07696_,19.06
_14148_,19.06
u_cpu.cpuregs\[22\]\[14\],19.06
u_sram.mem\[28\]\[14\],19.06
u_sram.mem\[48\]\[15\],19.06
u_sram.mem\[54\]\[10\],19.06
_08283_,19.04
_14471_,19.04
u_cpu.cpuregs\[7\]\[11\],19.04
u_sram.mem\[9\]\[10\],19.04
_06685_,19.02
_10993_,19.02
_14010_,19.02
_14482_,19.02
u_cpu.cpuregs\[28\]\[5\],19.02
u_cpu.cpuregs\[6\]\[22\],19.02
net1166,19.02
u_sram.mem\[13\]\[27\],19
u_sram.mem\[26\]\[21\],19
net2549,19
_05415_,18.98
_08334_,18.98
u_sram.mem\[3\]\[21\],18.98
net5209,18.98
net4207,18.97
_09159_,18.96
u_sram.mem\[15\]\[31\],18.96
u_sram.mem\[32\]\[2\],18.96
net4669,18.96
_13771_,18.95
net4785,18.945
_06720_,18.94
_07759_,18.94
_08741_,18.94
_14296_,18.94
u_cpu.cpuregs\[24\]\[8\],18.94
net4830,18.94
_05489_,18.92
_06647_,18.92
_09879_,18.92
u_cpu.cpuregs\[6\]\[31\],18.92
u_sram.mem\[48\]\[20\],18.92
net2746,18.92
_08748_,18.9
_09689_,18.9
_10491_,18.9
u_sram.mem\[9\]\[28\],18.89
_13706_,18.88
u_cpu.cpuregs\[10\]\[11\],18.88
_09751_,18.86
_13724_,18.86
_13851_,18.86
u_cpu.cpuregs\[19\]\[18\],18.86
u_sram.mem\[11\]\[24\],18.86
net4317,18.86
_05768_,18.84
_07627_,18.84
_11280_,18.84
_11558_,18.84
u_cpu.cpuregs\[19\]\[2\],18.84
u_cpu.cpuregs\[31\]\[15\],18.84
u_sram.mem\[24\]\[30\],18.84
_06503_,18.83
net2136,18.825
_04556_,18.82
_08765_,18.82
_10217_,18.82
_14195_,18.82
u_cpu.cpuregs\[16\]\[27\],18.82
u_cpu.cpuregs\[21\]\[12\],18.82
u_cpu.cpuregs\[31\]\[5\],18.82
net572,18.82
_04313_,18.8
_06164_,18.8
u_cpu.cpuregs\[14\]\[20\],18.8
u_cpu.cpuregs\[5\]\[6\],18.8
u_sram.w_strb_r\[1\],18.8
net5303,18.8
_01823_,18.78
_07377_,18.78
_09484_,18.78
_10163_,18.77
_05251_,18.76
_06831_,18.76
_12172_,18.76
net2107,18.76
_08025_,18.74
u_cpu.count_instr\[1\],18.74
u_sram.mem\[40\]\[7\],18.74
net521,18.74
net4472,18.74
_04984_,18.72
_08708_,18.72
_08853_,18.72
_11856_,18.72
u_sram.mem\[17\]\[22\],18.72
u_sram.mem\[33\]\[20\],18.72
u_sram.mem\[57\]\[3\],18.72
net4152,18.72
_14343_,18.7
u_cpu.cpuregs\[22\]\[15\],18.7
u_cpu.cpuregs\[31\]\[18\],18.7
u_cpu.cpuregs\[9\]\[14\],18.7
net3522,18.7
net3656,18.7
u_cpu.cpuregs\[3\]\[22\],18.695
_09131_,18.68
_06108_,18.66
u_sram.mem\[37\]\[20\],18.66
u_sram.mem\[46\]\[4\],18.66
u_sram.mem\[60\]\[28\],18.66
_06556_,18.64
_09092_,18.64
_14124_,18.64
u_cpu.cpuregs\[12\]\[17\],18.64
u_cpu.cpuregs\[8\]\[28\],18.64
net5088,18.64
_04863_,18.62
_05345_,18.62
_08096_,18.62
_10200_,18.62
_12007_,18.62
u_cpu.cpuregs\[0\]\[14\],18.62
u_cpu.cpuregs\[10\]\[29\],18.62
u_cpu.cpuregs\[11\]\[23\],18.61
_10501_,18.6
_11238_,18.6
_13797_,18.6
cpu_mem_wdata\[10\],18.6
u_cpu.cpuregs\[0\]\[4\],18.6
u_cpu.cpuregs\[18\]\[0\],18.6
_04293_,18.58
_13989_,18.56
u_cpu.cpuregs\[21\]\[15\],18.56
u_sram.mem\[24\]\[24\],18.56
u_sram.mem\[24\]\[6\],18.56
_04572_,18.54
_11671_,18.54
u_cpu.cpuregs\[8\]\[7\],18.54
u_sram.mem\[13\]\[30\],18.54
net1324,18.54
_08810_,18.52
_14347_,18.52
u_cpu.cpuregs\[1\]\[27\],18.52
u_cpu.cpuregs\[25\]\[18\],18.52
_05122_,18.5
_08827_,18.5
_10750_,18.5
_11534_,18.5
u_sram.mem\[29\]\[21\],18.5
u_sram.mem\[51\]\[6\],18.5
net676,18.5
u_cpu.reg_out\[31\],18.495
_06182_,18.48
_07960_,18.48
_11631_,18.48
_13743_,18.48
net2517,18.48
_06834_,18.47
_05341_,18.46
_06953_,18.46
_10810_,18.46
_13171_,18.46
u_cpu.cpuregs\[1\]\[28\],18.46
u_cpu.cpuregs\[9\]\[25\],18.46
net4531,18.46
_06546_,18.44
_08814_,18.44
_11650_,18.44
u_cpu.cpuregs\[9\]\[5\],18.44
_05214_,18.42
_10178_,18.42
u_cpu.cpuregs\[16\]\[20\],18.42
net3929,18.42
_09276_,18.415
_08396_,18.4
_09911_,18.4
u_cpu.count_cycle\[11\],18.4
u_cpu.cpuregs\[14\]\[5\],18.4
u_cpu.cpuregs\[15\]\[25\],18.4
_06119_,18.38
_14545_,18.38
u_sram.mem\[19\]\[28\],18.38
u_sram.mem\[44\]\[21\],18.38
_04587_,18.36
_10461_,18.36
_11398_,18.36
_13866_,18.36
u_cpu.cpuregs\[17\]\[6\],18.36
u_sram.mem\[62\]\[13\],18.36
net4498,18.345
_07611_,18.34
_07934_,18.34
u_cpu.cpuregs\[8\]\[4\],18.34
net1073,18.34
net1096,18.34
net43,18.335
_10875_,18.32
u_cpu.cpuregs\[1\]\[3\],18.32
u_cpu.cpuregs\[5\]\[4\],18.32
net4605,18.305
_06819_,18.3
_12197_,18.3
_04502_,18.28
_09620_,18.28
u_cpu.cpuregs\[12\]\[10\],18.28
u_cpu.cpuregs\[20\]\[24\],18.28
net2092,18.28
net4059,18.28
net1628,18.275
_05242_,18.26
_06133_,18.26
_11598_,18.26
_12932_,18.26
_14599_,18.26
cpu_mem_wdata\[13\],18.26
cpu_mem_wdata\[27\],18.26
u_cpu.cpuregs\[13\]\[9\],18.26
u_cpu.cpuregs\[31\]\[30\],18.26
u_cpu.cpuregs\[4\]\[4\],18.26
u_sram.mem\[12\]\[20\],18.26
net3228,18.26
_09065_,18.24
_09502_,18.24
_09514_,18.24
_09584_,18.24
_10322_,18.24
_11785_,18.24
net2159,18.225
_07228_,18.22
_08137_,18.22
_13133_,18.22
u_cpu.cpuregs\[10\]\[15\],18.22
u_cpu.cpuregs\[6\]\[14\],18.22
u_sram.mem\[33\]\[19\],18.22
_11322_,18.2
u_cpu.count_instr\[20\],18.2
u_cpu.cpuregs\[16\]\[21\],18.2
u_cpu.cpuregs\[25\]\[22\],18.2
u_sram.mem\[26\]\[12\],18.2
u_sram.mem\[1\]\[21\],18.185
_13094_,18.18
net2392,18.18
u_cpu.cpuregs\[3\]\[19\],18.16
_12168_,18.14
net2371,18.14
net4921,18.14
u_sram.mem\[2\]\[10\],18.135
_09324_,18.12
_10658_,18.12
net2358,18.12
_08167_,18.1
_12171_,18.1
u_cpu.cpuregs\[0\]\[23\],18.1
u_sram.mem\[54\]\[2\],18.1
u_uart.w_byte\[1\],18.1
net1270,18.1
net1855,18.1
_09713_,18.08
u_cpu.cpuregs\[12\]\[7\],18.08
u_cpu.cpuregs\[15\]\[27\],18.08
u_sram.mem\[51\]\[23\],18.08
_10097_,18.075
_09325_,18.06
_09918_,18.06
_13035_,18.06
_13896_,18.06
u_sram.mem\[29\]\[8\],18.06
u_sram.mem\[40\]\[31\],18.06
net1318,18.055
_00773_,18.04
_04456_,18.04
_04932_,18.04
_05710_,18.04
_09923_,18.04
_13955_,18.04
u_cpu.cpuregs\[28\]\[26\],18.04
u_cpu.cpuregs\[29\]\[31\],18.04
u_interconnect.m_axi_araddr\[28\],18.04
u_sram.mem\[4\]\[27\],18.04
net3715,18.04
net4680,18.04
_07511_,18.02
_14430_,18.02
u_cpu.cpuregs\[16\]\[6\],18.02
u_cpu.cpuregs\[24\]\[16\],18.02
u_cpu.cpuregs\[6\]\[29\],18.02
u_cpu.cpuregs\[9\]\[12\],18.02
net1684,18.02
net4380,18.02
_05971_,18
_06872_,18
_08717_,18
_09145_,18
_10225_,18
_10406_,18
_13705_,18
u_cpu.cpuregs\[15\]\[10\],18
u_cpu.cpuregs\[1\]\[31\],18
u_cpu.cpuregs\[7\]\[26\],18
u_sram.mem\[26\]\[16\],18
u_sram.mem\[35\]\[12\],18
u_sram.mem\[3\]\[31\],18
u_sram.mem\[46\]\[8\],18
net4289,18
_05096_,17.98
_06397_,17.98
_08662_,17.98
_11377_,17.98
net976,17.98
net4223,17.98
net4761,17.98
_06638_,17.96
_06680_,17.96
_10506_,17.96
_10959_,17.96
u_cpu.cpuregs\[23\]\[11\],17.96
u_cpu.cpuregs\[29\]\[14\],17.96
u_cpu.cpuregs\[5\]\[28\],17.96
u_sram.mem\[12\]\[5\],17.96
u_sram.mem\[47\]\[13\],17.96
net4176,17.96
_05105_,17.94
_14023_,17.94
u_cpu.cpuregs\[10\]\[27\],17.94
u_cpu.cpuregs\[13\]\[20\],17.94
u_cpu.cpuregs\[16\]\[7\],17.94
u_cpu.cpuregs\[17\]\[14\],17.94
u_sram.mem\[15\]\[29\],17.94
u_sram.mem\[42\]\[24\],17.94
net2293,17.94
net3635,17.94
net4384,17.94
_06096_,17.92
_14422_,17.92
u_cpu.cpuregs\[27\]\[30\],17.92
u_sram.mem\[24\]\[31\],17.92
u_sram.mem\[8\]\[12\],17.92
net2622,17.92
_04328_,17.9
_05767_,17.9
_09274_,17.9
_11315_,17.9
u_cpu.cpuregs\[17\]\[10\],17.9
u_cpu.cpuregs\[8\]\[12\],17.9
_04485_,17.88
u_cpu.cpuregs\[28\]\[3\],17.88
_05274_,17.86
_11340_,17.86
_13749_,17.86
_14227_,17.86
_14562_,17.86
u_cpu.cpuregs\[14\]\[9\],17.86
u_cpu.cpuregs\[20\]\[0\],17.86
u_cpu.cpuregs\[27\]\[19\],17.86
u_cpu.cpuregs\[31\]\[10\],17.86
u_cpu.cpuregs\[5\]\[18\],17.86
u_interconnect.m_axi_awaddr\[17\],17.86
u_sram.mem\[63\]\[11\],17.86
net5292,17.86
_05059_,17.84
_05827_,17.84
_14371_,17.84
u_cpu.count_instr\[0\],17.84
u_cpu.cpuregs\[16\]\[3\],17.84
u_cpu.cpuregs\[24\]\[4\],17.84
u_sram.mem\[29\]\[13\],17.84
net4520,17.84
u_sram.mem\[9\]\[13\],17.83
_09823_,17.82
_11388_,17.82
u_cpu.cpuregs\[17\]\[13\],17.82
u_cpu.cpuregs\[18\]\[9\],17.82
u_cpu.cpuregs\[21\]\[14\],17.82
_07424_,17.815
_04553_,17.8
_12176_,17.8
_14323_,17.8
_14368_,17.8
u_cpu.cpuregs\[19\]\[26\],17.8
u_cpu.cpuregs\[20\]\[29\],17.8
net5000,17.8
