net,length_um
_10821_,362.74
_13300_,362.5
_13269_,362.33
_13263_,362.195
_13267_,361.955
_13239_,361.815
_11559_,361.71
_10671_,361.53
_13286_,361.51
_12681_,361.12
_13486_,361.015
_05910_,360.99
_12836_,360.835
_13343_,360.71
_13336_,359.86
_07235_,359.76
_13347_,359.74
_07319_,359.5
_13330_,358.96
_07030_,358.455
_07473_,357.89
_08425_,357.77
_13002_,357.48
_11082_,357.41
_13246_,357.26
_06243_,356.545
_07571_,356.01
_09030_,355.97
_10769_,355.625
_14058_,355.12
_12726_,355.09
_10891_,354.475
_13987_,354.435
_10619_,354.09
_07090_,353.775
_04635_,353.565
_07470_,353.44
_10048_,353.17
_07617_,352.785
_07576_,352.685
_09047_,352.52
u_cpu.is_lui_auipc_jal,352.475
_06086_,351.92
_13441_,351.735
_06261_,351.56
_08047_,351.52
clknet_5_23__leaf_clk,351.42
_09424_,350.76
_07009_,349.14
_00008_,348.79
_08184_,348.34
clknet_5_31__leaf_clk,348.32
_06097_,348.235
_08238_,347.5
_12769_,346.83
_11726_,346.7
_07589_,346.475
_07047_,345.95
_07074_,345.92
_08187_,344.98
_13884_,344.7
_07200_,344.35
_08267_,342.97
_12750_,342.875
_07519_,342.68
_11586_,342.255
_12894_,342.2
_07574_,341.89
_07185_,341.685
_04706_,341.535
_12402_,340.2
_13252_,340.125
_05860_,339.96
_10805_,339.575
_09031_,338.16
_06339_,335.43
_07631_,335.38
_10640_,335.18
_13413_,334.98
_12540_,334.305
_11073_,334.3
_11571_,334.29
_08416_,333.11
_06281_,332.985
_13257_,332.97
_12539_,332.1
_14358_,331.9
_13551_,331.84
_11497_,331.49
_07251_,331.27
_12407_,331.15
_11038_,331.035
_04687_,330.6
_09037_,330.6
_07963_,330.12
cpu_mem_rdata\[18\],329.525
_10809_,329.4
_08421_,329.38
_13280_,329.065
_13304_,328.96
_10377_,328.84
_13466_,327.9
_06104_,327.665
_13309_,327.45
_07595_,326.97
_13385_,326.87
_07234_,326.68
_07258_,326.62
_12735_,326.57
_08038_,326.04
_12907_,325.935
u_cpu.decoded_imm\[9\],325.88
_14240_,324.93
_12827_,324.5
_06386_,324.38
_07630_,324.29
cpu_mem_rdata\[30\],324.24
_09036_,323.84
_04721_,323.5
_13409_,323.37
_10777_,323.285
_07278_,322.98
_13331_,322.94
_07308_,322.84
_06310_,322.62
_07592_,322.29
_07275_,322.14
cpu_mem_rdata\[19\],322.05
_04789_,322.005
_07283_,321.85
_07286_,321.02
_07584_,320.82
_05844_,320.64
_09169_,320.32
_13393_,319.775
_08036_,319.4
_12691_,319.26
_10762_,319.16
_13404_,319.02
_07794_,318.84
_13415_,318.415
_06238_,318.07
_07336_,318
_07455_,317.9
_05759_,317.82
net4769,317.74
_08286_,317.71
_09178_,317.3
_11719_,316.96
_12772_,316.84
_05924_,316.46
_05923_,316.39
_12747_,316.2
_05719_,315.67
_09181_,315.46
_07427_,315.15
_04722_,314.96
clknet_5_21__leaf_clk,314.77
_13430_,314.58
_08987_,314.09
u_cpu.decoded_imm\[13\],313.985
_07082_,313.8
net4784,313.62
_13463_,313.22
_09196_,313.06
_13274_,312.825
_12713_,312.74
_12986_,312.67
_12743_,312.66
u_cpu.decoded_imm\[17\],312.5
_11942_,312.34
_06315_,312.04
_06109_,311.81
_07610_,311.725
_11523_,311.16
_08006_,311.08
_12757_,310.86
_06073_,310.77
_09167_,310.72
_13438_,310.7
_09972_,310.35
_05977_,310.28
_04532_,310.245
_06312_,310.05
_13443_,310.03
u_cpu.decoded_imm\[18\],309.6
_07619_,309.51
_14172_,309.47
net2328,309.4
_04696_,309.26
_11495_,309.22
_09035_,308.895
cpu_mem_rdata\[29\],308.57
_14385_,308.38
_12758_,308.27
net4731,308.26
_07197_,308.12
_13468_,308.11
cpu_mem_rdata\[26\],307.615
_10636_,307.6
_07066_,307.4
cpu_mem_rdata\[28\],307.375
_10622_,307.28
_10790_,306.96
net5087,306.67
_13356_,306.315
_12710_,306.11
_09041_,305.92
u_cpu.decoded_imm\[25\],305.8
_13397_,305.47
_08176_,305.43
net5082,305.415
_13359_,305.29
u_cpu.decoded_imm\[16\],305.165
_05914_,305.16
_13408_,305.095
_13421_,304.92
_07111_,304.9
cpu_mem_rdata\[15\],304.78
_13457_,304.74
net5140,304.67
_13370_,304.5
_12814_,304.4
net2,304.32
_04749_,304.2
_12674_,304.16
_05315_,303.7
_06023_,303.55
_09182_,303.53
_12828_,303.395
_00047_,303
_10759_,302.63
u_cpu.decoded_imm\[12\],302.62
_13254_,302.58
_09033_,302.54
_08998_,302.38
